03-Aug-2021 20:29:55 Volt1 (V):  6.999166
03-Aug-2021 20:29:55 Volt2 (V):  6.988726
03-Aug-2021 20:29:55 Curr1 (A):  0.4638039
03-Aug-2021 20:29:55 Curr2 (A):  0.1099878
03-Aug-2021 20:29:55 Time (Sec):  196
03-Aug-2021 20:30:02 Get IV Data
03-Aug-2021 20:30:02 Volt1 (V):  6.999217
03-Aug-2021 20:30:02 Volt2 (V):  6.988722
03-Aug-2021 20:30:02 Curr1 (A):  0.456162
03-Aug-2021 20:30:02 Curr2 (A):  0.109618
03-Aug-2021 20:30:02 Time (Sec):  203
03-Aug-2021 20:30:09 Get IV Data
03-Aug-2021 20:30:09 Volt1 (V):  6.999188
03-Aug-2021 20:30:09 Volt2 (V):  6.98879
03-Aug-2021 20:30:09 Curr1 (A):  0.4654848
03-Aug-2021 20:30:09 Curr2 (A):  0.1124333
03-Aug-2021 20:30:09 Time (Sec):  210
03-Aug-2021 20:30:16 Get IV Data
03-Aug-2021 20:30:16 Volt1 (V):  6.999109
03-Aug-2021 20:30:16 Volt2 (V):  6.98867
03-Aug-2021 20:30:16 Curr1 (A):  0.4670487
03-Aug-2021 20:30:16 Curr2 (A):  0.1114407
03-Aug-2021 20:30:16 Time (Sec):  217
03-Aug-2021 20:30:23 Get IV Data
03-Aug-2021 20:30:23 Volt1 (V):  6.999024
03-Aug-2021 20:30:23 Volt2 (V):  6.988808
03-Aug-2021 20:30:23 Curr1 (A):  0.4684504
03-Aug-2021 20:30:23 Curr2 (A):  0.1096504
03-Aug-2021 20:30:23 Time (Sec):  224
03-Aug-2021 20:30:30 Get IV Data
03-Aug-2021 20:30:30 Volt1 (V):  6.99921
03-Aug-2021 20:30:30 Volt2 (V):  6.988804
03-Aug-2021 20:30:30 Curr1 (A):  0.4703587
03-Aug-2021 20:30:30 Curr2 (A):  0.1117648
03-Aug-2021 20:30:30 Time (Sec):  231
03-Aug-2021 20:30:37 Get IV Data
03-Aug-2021 20:30:37 Volt1 (V):  6.999199
03-Aug-2021 20:30:37 Volt2 (V):  6.988769
03-Aug-2021 20:30:37 Curr1 (A):  0.448534
03-Aug-2021 20:30:37 Curr2 (A):  0.1093488
03-Aug-2021 20:30:37 Time (Sec):  238
03-Aug-2021 20:30:44 Get IV Data
03-Aug-2021 20:30:44 Volt1 (V):  6.999146
03-Aug-2021 20:30:44 Volt2 (V):  6.988693
03-Aug-2021 20:30:44 Curr1 (A):  0.4721693
03-Aug-2021 20:30:44 Curr2 (A):  0.1100537
03-Aug-2021 20:30:44 Time (Sec):  245
03-Aug-2021 20:30:52 Get IV Data
03-Aug-2021 20:30:52 Volt1 (V):  6.999249
03-Aug-2021 20:30:52 Volt2 (V):  6.988877
03-Aug-2021 20:30:52 Curr1 (A):  0.4622798
03-Aug-2021 20:30:52 Curr2 (A):  0.1091657
03-Aug-2021 20:30:52 Time (Sec):  253
03-Aug-2021 20:30:59 Get IV Data
03-Aug-2021 20:30:59 Volt1 (V):  6.999197
03-Aug-2021 20:30:59 Volt2 (V):  6.988699
03-Aug-2021 20:30:59 Curr1 (A):  0.4638298
03-Aug-2021 20:30:59 Curr2 (A):  0.1083307
03-Aug-2021 20:30:59 Time (Sec):  260
03-Aug-2021 20:31:06 Get IV Data
03-Aug-2021 20:31:06 Volt1 (V):  6.999119
03-Aug-2021 20:31:06 Volt2 (V):  6.988774
03-Aug-2021 20:31:06 Curr1 (A):  0.453716
03-Aug-2021 20:31:06 Curr2 (A):  0.1095881
03-Aug-2021 20:31:06 Time (Sec):  267
03-Aug-2021 20:31:13 Get IV Data
03-Aug-2021 20:31:13 Volt1 (V):  6.999115
03-Aug-2021 20:31:13 Volt2 (V):  6.988815
03-Aug-2021 20:31:13 Curr1 (A):  0.4640919
03-Aug-2021 20:31:13 Curr2 (A):  0.1088125
03-Aug-2021 20:31:13 Time (Sec):  274
03-Aug-2021 20:31:20 Get IV Data
03-Aug-2021 20:31:20 Volt1 (V):  6.999196
03-Aug-2021 20:31:20 Volt2 (V):  6.988686
03-Aug-2021 20:31:20 Curr1 (A):  0.4591724
03-Aug-2021 20:31:20 Curr2 (A):  0.1093927
03-Aug-2021 20:31:20 Time (Sec):  281
03-Aug-2021 20:31:27 Get IV Data
03-Aug-2021 20:31:27 Volt1 (V):  6.999287
03-Aug-2021 20:31:27 Volt2 (V):  6.988684
03-Aug-2021 20:31:27 Curr1 (A):  0.4658496
03-Aug-2021 20:31:27 Curr2 (A):  0.1093962
03-Aug-2021 20:31:27 Time (Sec):  288
03-Aug-2021 20:31:34 Get IV Data
03-Aug-2021 20:31:34 Volt1 (V):  6.999266
03-Aug-2021 20:31:34 Volt2 (V):  6.988603
03-Aug-2021 20:31:34 Curr1 (A):  0.4604564
03-Aug-2021 20:31:34 Curr2 (A):  0.1100777
03-Aug-2021 20:31:34 Time (Sec):  295
03-Aug-2021 20:31:41 Get IV Data
03-Aug-2021 20:31:41 Volt1 (V):  6.999242
03-Aug-2021 20:31:41 Volt2 (V):  6.988637
03-Aug-2021 20:31:41 Curr1 (A):  0.4689527
03-Aug-2021 20:31:41 Curr2 (A):  0.1098498
03-Aug-2021 20:31:41 Time (Sec):  302
03-Aug-2021 20:31:48 Get IV Data
03-Aug-2021 20:31:48 Volt1 (V):  6.999112
03-Aug-2021 20:31:48 Volt2 (V):  6.988785
03-Aug-2021 20:31:48 Curr1 (A):  0.4628716
03-Aug-2021 20:31:48 Curr2 (A):  0.1084743
03-Aug-2021 20:31:48 Time (Sec):  309
03-Aug-2021 20:31:55 Get IV Data
03-Aug-2021 20:31:55 Volt1 (V):  6.999166
03-Aug-2021 20:31:55 Volt2 (V):  6.988787
03-Aug-2021 20:31:55 Curr1 (A):  0.4694769
03-Aug-2021 20:31:55 Curr2 (A):  0.1125081
03-Aug-2021 20:31:55 Time (Sec):  316
03-Aug-2021 20:32:02 Get IV Data
03-Aug-2021 20:32:02 Volt1 (V):  6.999011
03-Aug-2021 20:32:02 Volt2 (V):  6.988755
03-Aug-2021 20:32:02 Curr1 (A):  0.4597863
03-Aug-2021 20:32:02 Curr2 (A):  0.1107213
03-Aug-2021 20:32:02 Time (Sec):  323
03-Aug-2021 20:32:09 Get IV Data
03-Aug-2021 20:32:09 Volt1 (V):  6.999136
03-Aug-2021 20:32:09 Volt2 (V):  6.988739
03-Aug-2021 20:32:09 Curr1 (A):  0.4695244
03-Aug-2021 20:32:09 Curr2 (A):  0.1096454
03-Aug-2021 20:32:09 Time (Sec):  330
03-Aug-2021 20:32:16 Get IV Data
03-Aug-2021 20:32:16 Volt1 (V):  6.999118
03-Aug-2021 20:32:16 Volt2 (V):  6.988616
03-Aug-2021 20:32:16 Curr1 (A):  0.4721372
03-Aug-2021 20:32:16 Curr2 (A):  0.1084763
03-Aug-2021 20:32:16 Time (Sec):  337
03-Aug-2021 20:32:23 Get IV Data
03-Aug-2021 20:32:23 Volt1 (V):  6.99911
03-Aug-2021 20:32:23 Volt2 (V):  6.988765
03-Aug-2021 20:32:23 Curr1 (A):  0.4459305
03-Aug-2021 20:32:23 Curr2 (A):  0.1090202
03-Aug-2021 20:32:23 Time (Sec):  344
03-Aug-2021 20:32:30 Get IV Data
03-Aug-2021 20:32:30 Volt1 (V):  6.999225
03-Aug-2021 20:32:30 Volt2 (V):  6.988734
03-Aug-2021 20:32:30 Curr1 (A):  0.4565558
03-Aug-2021 20:32:30 Curr2 (A):  0.1088926
03-Aug-2021 20:32:30 Time (Sec):  351
03-Aug-2021 20:32:37 Get IV Data
03-Aug-2021 20:32:37 Volt1 (V):  6.999127
03-Aug-2021 20:32:37 Volt2 (V):  6.988501
03-Aug-2021 20:32:37 Curr1 (A):  0.470417
03-Aug-2021 20:32:37 Curr2 (A):  0.109965
03-Aug-2021 20:32:37 Time (Sec):  358
03-Aug-2021 20:32:44 Get IV Data
03-Aug-2021 20:32:44 Volt1 (V):  6.999119
03-Aug-2021 20:32:44 Volt2 (V):  6.9888
03-Aug-2021 20:32:44 Curr1 (A):  0.4690164
03-Aug-2021 20:32:44 Curr2 (A):  0.1114836
03-Aug-2021 20:32:44 Time (Sec):  365
03-Aug-2021 20:32:51 Get IV Data
03-Aug-2021 20:32:51 Volt1 (V):  6.998958
03-Aug-2021 20:32:51 Volt2 (V):  6.988642
03-Aug-2021 20:32:51 Curr1 (A):  0.4685106
03-Aug-2021 20:32:51 Curr2 (A):  0.1118625
03-Aug-2021 20:32:51 Time (Sec):  372
03-Aug-2021 20:32:58 Get IV Data
03-Aug-2021 20:32:58 Volt1 (V):  6.998989
03-Aug-2021 20:32:58 Volt2 (V):  6.988535
03-Aug-2021 20:32:58 Curr1 (A):  0.4662082
03-Aug-2021 20:32:58 Curr2 (A):  0.1095487
03-Aug-2021 20:32:58 Time (Sec):  379
03-Aug-2021 20:33:06 Get IV Data
03-Aug-2021 20:33:06 Volt1 (V):  6.99912
03-Aug-2021 20:33:06 Volt2 (V):  6.988585
03-Aug-2021 20:33:06 Curr1 (A):  0.4440824
03-Aug-2021 20:33:06 Curr2 (A):  0.1097182
03-Aug-2021 20:33:06 Time (Sec):  387
03-Aug-2021 20:33:13 Get IV Data
03-Aug-2021 20:33:13 Volt1 (V):  6.99918
03-Aug-2021 20:33:13 Volt2 (V):  6.988577
03-Aug-2021 20:33:13 Curr1 (A):  0.4543479
03-Aug-2021 20:33:13 Curr2 (A):  0.110841
03-Aug-2021 20:33:13 Time (Sec):  394
03-Aug-2021 20:33:20 Get IV Data
03-Aug-2021 20:33:20 Volt1 (V):  6.99928
03-Aug-2021 20:33:20 Volt2 (V):  6.988594
03-Aug-2021 20:33:20 Curr1 (A):  0.4427235
03-Aug-2021 20:33:20 Curr2 (A):  0.1080237
03-Aug-2021 20:33:20 Time (Sec):  401
03-Aug-2021 20:33:27 Get IV Data
03-Aug-2021 20:33:27 Volt1 (V):  6.999203
03-Aug-2021 20:33:27 Volt2 (V):  6.9888
03-Aug-2021 20:33:27 Curr1 (A):  0.464669
03-Aug-2021 20:33:27 Curr2 (A):  0.1110409
03-Aug-2021 20:33:27 Time (Sec):  408
03-Aug-2021 20:33:34 Get IV Data
03-Aug-2021 20:33:34 Volt1 (V):  6.999265
03-Aug-2021 20:33:34 Volt2 (V):  6.988725
03-Aug-2021 20:33:34 Curr1 (A):  0.4645135
03-Aug-2021 20:33:34 Curr2 (A):  0.1112946
03-Aug-2021 20:33:34 Time (Sec):  415
03-Aug-2021 20:33:41 Get IV Data
03-Aug-2021 20:33:41 Volt1 (V):  6.999245
03-Aug-2021 20:33:41 Volt2 (V):  6.988658
03-Aug-2021 20:33:41 Curr1 (A):  0.4588485
03-Aug-2021 20:33:41 Curr2 (A):  0.1085347
03-Aug-2021 20:33:41 Time (Sec):  422
03-Aug-2021 20:33:48 Get IV Data
03-Aug-2021 20:33:48 Volt1 (V):  6.9991
03-Aug-2021 20:33:48 Volt2 (V):  6.988714
03-Aug-2021 20:33:48 Curr1 (A):  0.4557038
03-Aug-2021 20:33:48 Curr2 (A):  0.1104411
03-Aug-2021 20:33:48 Time (Sec):  429
03-Aug-2021 20:33:55 Get IV Data
03-Aug-2021 20:33:55 Volt1 (V):  6.999084
03-Aug-2021 20:33:55 Volt2 (V):  6.988639
