03-Aug-2021 19:39:02 Curr2 (A):  0.1012711
03-Aug-2021 19:39:02 Time (Sec):  8
03-Aug-2021 19:39:07 Get IV Data
03-Aug-2021 19:39:07 Volt1 (V):  6.996911
03-Aug-2021 19:39:07 Volt2 (V):  7.032659
03-Aug-2021 19:39:07 Curr1 (A):  0.4762103
03-Aug-2021 19:39:07 Curr2 (A):  0.1034943
03-Aug-2021 19:39:07 Time (Sec):  13
03-Aug-2021 19:39:11 Get IV Data
03-Aug-2021 19:39:11 Volt1 (V):  6.996991
03-Aug-2021 19:39:11 Volt2 (V):  7.032525
03-Aug-2021 19:39:11 Curr1 (A):  0.4684948
03-Aug-2021 19:39:11 Curr2 (A):  0.1034564
03-Aug-2021 19:39:11 Time (Sec):  17
03-Aug-2021 19:39:16 Get IV Data
03-Aug-2021 19:39:16 Volt1 (V):  6.996907
03-Aug-2021 19:39:16 Volt2 (V):  7.032647
03-Aug-2021 19:39:16 Curr1 (A):  0.474293
03-Aug-2021 19:39:16 Curr2 (A):  0.1019473
03-Aug-2021 19:39:16 Time (Sec):  22
03-Aug-2021 19:39:24 OUTP OFF
03-Aug-2021 19:39:24 Get IV Data
03-Aug-2021 19:39:24 Volt1 (V):  6.996929
03-Aug-2021 19:39:24 Volt2 (V):  7.032485
03-Aug-2021 19:39:24 Curr1 (A):  0.4662319
03-Aug-2021 19:39:24 Curr2 (A):  0.1025754
03-Aug-2021 19:39:24 Time (Sec):  27
03-Aug-2021 19:39:26 Get IV Data
03-Aug-2021 19:39:26 Volt1 (V):  1.277051
03-Aug-2021 19:39:26 Volt2 (V):  0.0165002
03-Aug-2021 19:39:26 Curr1 (A):  -0.1765671
03-Aug-2021 19:39:26 Curr2 (A):  0.005783977
03-Aug-2021 19:39:26 Time (Sec):  32
03-Aug-2021 19:39:30 Get IV Data
03-Aug-2021 19:39:30 Volt1 (V):  1.276048
03-Aug-2021 19:39:30 Volt2 (V):  0.01657765
03-Aug-2021 19:39:30 Curr1 (A):  -0.1766874
03-Aug-2021 19:39:30 Curr2 (A):  0.005784277
03-Aug-2021 19:39:30 Time (Sec):  36
03-Aug-2021 19:39:35 Get IV Data
03-Aug-2021 19:39:35 Volt1 (V):  1.286307
03-Aug-2021 19:39:35 Volt2 (V):  0.01647495
03-Aug-2021 19:39:35 Curr1 (A):  -0.1767426
03-Aug-2021 19:39:35 Curr2 (A):  0.00577518
03-Aug-2021 19:39:35 Time (Sec):  41
03-Aug-2021 19:39:46 OUTP ON
03-Aug-2021 19:39:46 Get IV Data
03-Aug-2021 19:39:46 Volt1 (V):  1.134591
03-Aug-2021 19:39:46 Volt2 (V):  0.01647369
03-Aug-2021 19:39:46 Curr1 (A):  -0.1767687
03-Aug-2021 19:39:46 Curr2 (A):  0.005791874
03-Aug-2021 19:39:46 Time (Sec):  46
03-Aug-2021 19:39:47 Get IV Data
03-Aug-2021 19:39:47 Volt1 (V):  6.996751
03-Aug-2021 19:39:47 Volt2 (V):  7.032972
03-Aug-2021 19:39:47 Curr1 (A):  0.4257334
03-Aug-2021 19:39:47 Curr2 (A):  0.1200679
03-Aug-2021 19:39:47 Time (Sec):  53
03-Aug-2021 19:39:52 Get IV Data
03-Aug-2021 19:39:52 Volt1 (V):  6.996866
03-Aug-2021 19:39:52 Volt2 (V):  7.033066
03-Aug-2021 19:39:52 Curr1 (A):  0.421053
03-Aug-2021 19:39:52 Curr2 (A):  0.1182474
03-Aug-2021 19:39:52 Time (Sec):  58
03-Aug-2021 19:39:56 Get IV Data
03-Aug-2021 19:39:56 Volt1 (V):  6.996965
03-Aug-2021 19:39:56 Volt2 (V):  7.033022
03-Aug-2021 19:39:56 Curr1 (A):  0.4408633
03-Aug-2021 19:39:56 Curr2 (A):  0.1203854
03-Aug-2021 19:39:56 Time (Sec):  62
03-Aug-2021 20:26:24 Power Supply Connected to GPIB
03-Aug-2021 20:26:38 OUTP ON
03-Aug-2021 20:26:38 Power Supply  ON
03-Aug-2021 20:26:45 Get IV Data
03-Aug-2021 20:26:45 Volt1 (V):  6.996925
03-Aug-2021 20:26:45 Volt2 (V):  7.03335
03-Aug-2021 20:26:45 Curr1 (A):  0.4506583
03-Aug-2021 20:26:45 Curr2 (A):  0.1192893
03-Aug-2021 20:26:45 Time (Sec):  6
03-Aug-2021 20:26:52 Get IV Data
03-Aug-2021 20:26:52 Volt1 (V):  6.996892
03-Aug-2021 20:26:52 Volt2 (V):  7.033322
03-Aug-2021 20:26:52 Curr1 (A):  0.4586656
03-Aug-2021 20:26:52 Curr2 (A):  0.120274
03-Aug-2021 20:26:52 Time (Sec):  14
03-Aug-2021 20:26:59 Get IV Data
03-Aug-2021 20:26:59 Volt1 (V):  6.996797
03-Aug-2021 20:26:59 Volt2 (V):  7.033405
03-Aug-2021 20:26:59 Curr1 (A):  0.4491371
03-Aug-2021 20:26:59 Curr2 (A):  0.1181377
03-Aug-2021 20:26:59 Time (Sec):  21
03-Aug-2021 20:27:06 Get IV Data
03-Aug-2021 20:27:06 Volt1 (V):  6.996922
03-Aug-2021 20:27:06 Volt2 (V):  7.033179
03-Aug-2021 20:27:06 Curr1 (A):  0.4616707
