04-Aug-2021 11:41:57 Time (Sec):  345
04-Aug-2021 11:42:04 Get IV Data
04-Aug-2021 11:42:04 Volt1 (V):  6.99708
04-Aug-2021 11:42:04 Volt2 (V):  7.03312
04-Aug-2021 11:42:04 Curr1 (A):  0.4718621
04-Aug-2021 11:42:04 Curr2 (A):  0.1021388
04-Aug-2021 11:42:04 Time (Sec):  352
04-Aug-2021 11:42:11 Get IV Data
04-Aug-2021 11:42:11 Volt1 (V):  6.997159
04-Aug-2021 11:42:11 Volt2 (V):  7.033326
04-Aug-2021 11:42:11 Curr1 (A):  0.4646461
04-Aug-2021 11:42:11 Curr2 (A):  0.1029323
04-Aug-2021 11:42:11 Time (Sec):  359
04-Aug-2021 11:42:18 Get IV Data
04-Aug-2021 11:42:18 Volt1 (V):  6.997126
04-Aug-2021 11:42:18 Volt2 (V):  7.033157
04-Aug-2021 11:42:18 Curr1 (A):  0.4512201
04-Aug-2021 11:42:18 Curr2 (A):  0.1019199
04-Aug-2021 11:42:18 Time (Sec):  367
04-Aug-2021 11:42:25 Get IV Data
04-Aug-2021 11:42:25 Volt1 (V):  6.997037
04-Aug-2021 11:42:25 Volt2 (V):  7.033242
04-Aug-2021 11:42:25 Curr1 (A):  0.4330875
04-Aug-2021 11:42:25 Curr2 (A):  0.1043556
04-Aug-2021 11:42:25 Time (Sec):  374
04-Aug-2021 11:42:32 Get IV Data
04-Aug-2021 11:42:32 Volt1 (V):  6.99719
04-Aug-2021 11:42:32 Volt2 (V):  7.033176
04-Aug-2021 11:42:32 Curr1 (A):  0.4600349
04-Aug-2021 11:42:32 Curr2 (A):  0.1027346
04-Aug-2021 11:42:32 Time (Sec):  381
04-Aug-2021 11:42:39 Get IV Data
04-Aug-2021 11:42:39 Volt1 (V):  6.99726
04-Aug-2021 11:42:39 Volt2 (V):  7.033158
04-Aug-2021 11:42:39 Curr1 (A):  0.4664757
04-Aug-2021 11:42:39 Curr2 (A):  0.1022572
04-Aug-2021 11:42:39 Time (Sec):  388
04-Aug-2021 11:42:46 Get IV Data
04-Aug-2021 11:42:46 Volt1 (V):  6.997107
04-Aug-2021 11:42:46 Volt2 (V):  7.033174
04-Aug-2021 11:42:46 Curr1 (A):  0.4662242
04-Aug-2021 11:42:46 Curr2 (A):  0.1074031
04-Aug-2021 11:42:46 Time (Sec):  395
04-Aug-2021 11:42:54 Get IV Data
04-Aug-2021 11:42:54 Volt1 (V):  6.997228
04-Aug-2021 11:42:54 Volt2 (V):  7.033013
04-Aug-2021 11:42:54 Curr1 (A):  0.4737339
04-Aug-2021 11:42:54 Curr2 (A):  0.1027358
04-Aug-2021 11:42:54 Time (Sec):  402
04-Aug-2021 11:43:01 Get IV Data
04-Aug-2021 11:43:01 Volt1 (V):  6.99733
04-Aug-2021 11:43:01 Volt2 (V):  7.03304
04-Aug-2021 11:43:01 Curr1 (A):  0.4734575
04-Aug-2021 11:43:01 Curr2 (A):  0.102245
04-Aug-2021 11:43:01 Time (Sec):  409
04-Aug-2021 11:43:08 Get IV Data
04-Aug-2021 11:43:08 Volt1 (V):  6.99714
04-Aug-2021 11:43:08 Volt2 (V):  7.033082
04-Aug-2021 11:43:08 Curr1 (A):  0.4825453
04-Aug-2021 11:43:08 Curr2 (A):  0.1017264
04-Aug-2021 11:43:08 Time (Sec):  416
04-Aug-2021 11:43:15 Get IV Data
04-Aug-2021 11:43:15 Volt1 (V):  6.997129
04-Aug-2021 11:43:15 Volt2 (V):  7.033134
04-Aug-2021 11:43:15 Curr1 (A):  0.4690627
04-Aug-2021 11:43:15 Curr2 (A):  0.1033792
04-Aug-2021 11:43:15 Time (Sec):  423
04-Aug-2021 11:43:22 Get IV Data
04-Aug-2021 11:43:22 Volt1 (V):  6.997266
04-Aug-2021 11:43:22 Volt2 (V):  7.033144
04-Aug-2021 11:43:22 Curr1 (A):  0.4788604
04-Aug-2021 11:43:22 Curr2 (A):  0.1038757
04-Aug-2021 11:43:22 Time (Sec):  431
04-Aug-2021 11:43:29 Get IV Data
04-Aug-2021 11:43:29 Volt1 (V):  6.997044
04-Aug-2021 11:43:29 Volt2 (V):  7.03322
04-Aug-2021 11:43:29 Curr1 (A):  0.4507425
04-Aug-2021 11:43:29 Curr2 (A):  0.1036713
04-Aug-2021 11:43:29 Time (Sec):  438
04-Aug-2021 11:43:36 Get IV Data
04-Aug-2021 11:43:36 Volt1 (V):  6.997051
04-Aug-2021 11:43:36 Volt2 (V):  7.033242
04-Aug-2021 11:43:36 Curr1 (A):  0.4737009
04-Aug-2021 11:43:36 Curr2 (A):  0.1038164
04-Aug-2021 11:43:36 Time (Sec):  445
04-Aug-2021 11:43:43 Get IV Data
04-Aug-2021 11:43:43 Volt1 (V):  6.997207
04-Aug-2021 11:43:43 Volt2 (V):  7.033255
04-Aug-2021 11:43:43 Curr1 (A):  0.459996
04-Aug-2021 11:43:43 Curr2 (A):  0.1006812
04-Aug-2021 11:43:43 Time (Sec):  452
04-Aug-2021 11:43:51 Get IV Data
04-Aug-2021 11:43:51 Volt1 (V):  6.997184
04-Aug-2021 11:43:51 Volt2 (V):  7.033208
04-Aug-2021 11:43:51 Curr1 (A):  0.4694034
04-Aug-2021 11:43:51 Curr2 (A):  0.1030289
04-Aug-2021 11:43:51 Time (Sec):  459
04-Aug-2021 11:43:58 Get IV Data
04-Aug-2021 11:43:58 Volt1 (V):  6.997043
04-Aug-2021 11:43:58 Volt2 (V):  7.033255
04-Aug-2021 11:43:58 Curr1 (A):  0.4608743
04-Aug-2021 11:43:58 Curr2 (A):  0.1010816
04-Aug-2021 11:43:58 Time (Sec):  466
04-Aug-2021 11:44:05 Get IV Data
04-Aug-2021 11:44:05 Volt1 (V):  6.997088
04-Aug-2021 11:44:05 Volt2 (V):  7.033299
04-Aug-2021 11:44:05 Curr1 (A):  0.454104
04-Aug-2021 11:44:05 Curr2 (A):  0.1180092
04-Aug-2021 11:44:05 Time (Sec):  473
04-Aug-2021 11:44:12 Get IV Data
04-Aug-2021 11:44:12 Volt1 (V):  6.997038
